timestep,reward
71419,0.11
142029,0.03
211459,0.18
278869,0.21
344447,0.32
408464,0.32
472716,0.34
536654,0.27
599004,0.34
660744,0.33
721889,0.49
782760,0.3
843234,0.44
902899,0.35
962444,0.43
1020880,0.53
1079255,0.4
1137778,0.32
1195727,0.45
1252509,0.36
1309343,0.55
1366122,0.51
1422353,0.46
1478440,0.51
1534737,0.49
1590399,0.58
1645512,0.5
1700466,0.49
1754967,0.54
1809719,0.57
1864239,0.48
1918620,0.56
1972641,0.52
2026940,0.52
2081162,0.49
2135244,0.46
2188822,0.51
2242729,0.6
2296241,0.57
2349850,0.63
2403252,0.58
2456314,0.45
2509882,0.56
2564520,0.62
2619026,0.48
2673172,0.68
2726855,0.52
2780993,0.53
2835102,0.44
